input_query,ner_uni,ner_type,ner_keywords,decision,matched_uni,matched_type,matched_keywords,doc_path,page_index,score,snippet
연세대 정시랑 고려대 수시 각각의 전형일정이 궁금해,연세대|고려대,정시|수시,전형일정,문서탐색,고려대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\korea\susi_text.txt,2,0.084897,"Ⅰ. 전형 요약 및 주요 사항 ▪전형 요약 2 ▪ 전형별 모집단위 및 모집인원 3 ▪대학수학능력시험 최저학력기준 6 Ⅱ. 원서접수 및 전형 일정 ▪ 원서접수 7 ▪ 전형일정 8 ▪ 합격자 등록(온라인 문서등록) 12 ▪ 미등록 충원 및 추가합격자 등록(온라인 문서등록) 12 ▪ 합격자 등록포기(온라인 문서등록포기) 13 Ⅲ. 지원자 유의사항 ▪ 기본사항 14 ▪ 원서접수 관련 사항 14 ▪ 수시모집 지원횟수 및 복수지원 관련 사항 15 ▪ 합격자 등록 및 이중등록 금지 15 ▪ 입학전형 공정성 및 윤리성 확보를 위한 조치, 학교폭력 조치 사항 16 Ⅳ. 전형별 주요 사항 및 세부 일정 ▪ 학생부교과(학교추천전형) 17 ▪ 학생부종합(학업우수전형) 22 ▪ 학생부종합(계열적합전형) 26 ▪ 학생부종합(고른기회전형) 30 ▪ 학생부종합(다문화전형) 37 ▪ 학생부종합(재직자전형) 40"
연세대 정시랑 고려대 수시 각각의 전형일정이 궁금해,연세대|고려대,정시|수시,전형일정,문서탐색,연세대,정시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\yonsei\jungsi_text.txt,1,0.147087,······················································································································································· 7   2. 서류제출 주요사항················································································································································································ 9 Ⅳ. 전형일정 및 합격자 발표/등록···························································································································································· 12   1. 전형일정·····································································································································································
연세대 정시랑 고려대 수시 각각의 전형일정이 궁금해,연세대|고려대,정시|수시,전형일정,문서탐색,연세대,정시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\yonsei\jungsi_text.txt,15,0.105884,"연세대학교 서울캠퍼스 12 Ⅳ. 전형일정 및 합격자 발표/등록 Ⅳ 전형일정 및 합격자 발표/등록 1. 전형일정 구분 일시 방법 비고 인터넷 원서접수 (온라인) 2024.12.31.(화) 10:00    ~ 2025.1.2.(목) 17:00 연세대학교 입학처 홈페이지 · 원서는 반드시 인터넷으로 접수 실물서류 제출 방문(택배) 또는 등기우편 제출 2024.12.31.(화) 10:00    ~ 2025.1.3.(금) 17:00 등기우편 1.3.(금) 소인까지 유효 (우)03722 서울특별시 서대문구 연세로 50  연세대학교 201동(백주년기념관) 3층 입학전형실 정시모집 담당자 앞  · 해당자에 한하여 제출하며, 접수기간  내 필수 제출서류 미제출 시 별"
연세대 정시랑 고려대 수시 각각의 전형일정이 궁금해,연세대|고려대,정시|수시,전형일정,문서탐색,연세대,정시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\yonsei\jungsi_text.txt,16,0.07073,"연세대학교 서울캠퍼스 Ⅳ. 전형일정 및 합격자 발표/등록 13 2. 유의사항 ○ 정시모집에 지원하여 2개 이상의 대학(교육대학·산업대학·전문대학 포함)에 합격한 자는 하나의 대학에만 등록해야 함. 만약 타 대학  추가합격 후 등록하기 위하여 우리대학교 등록을 포기하려면 2025.2.19.(수) 14:00까지 연세대학교 입학처 홈페이지에서 신청하여  등록금을 환불받은 후 타 대학에 등록해야 함 ○ 1~4차 추가합격자 발표의 경우 해당 차수 합격자 발표 기간에 인터넷으로만 발표하고 개별통보하지 않으며, 미확인 등으로 발생 하는 모든 불이익은 합격자 본인에게 있으므로 합격자 발표 기간에 반드시 입학처 홈페이지를 통해 확인해야 함   ○ 개별통보(전화충"
연세대랑 고려대 중에서 정시로 경영학과를 고민중에 있는데 어디가 더 잘 붙을까?,연세대|고려대,정시,,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
건대 컴공과 논술 최저가 있는 거야? 없는거야?,건국대,,컴공,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
작년 서성한중경외시 중에 인원 미달인 학교를 알려줘,,,인원,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
실기 없는 미대 입시 전형 정리해줘,,,전형,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
건대 수시랑 연대 수시 중에 서양회과 예비 번호는 어디가 더 잘빠져?,건국대|연세대,수시,,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
건국대 학생부 종합전형을 쓰려고 하는데 컴퓨터공학부말고 또 경쟁률이 6:1이랑 비슷한 곳이 있나요?,건국대,,경쟁률,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
내가 공부를 못해서 실기 전형 60%이상인 미대 전형을 찾아줘,,,전형,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
내가 실기를 못해서 수능 전형 60%이상인 미대 전형을 찾아줘,,,전형|수능,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
건국대 자유전공공학부 들어가는 방법에 대해 알려줘,건국대,,자유전공공학부,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
타학교 산업공학과 목표로 물리를 안들었는데 건국대 학생부종합 지원하려면 불이익이 클까요? 대부분 공대는 물리 안들으면 학생부 종합 전형 광탈이라고 하니까요... 내신도 3.0이예요 일반고 생기부 열심히 챙기긴 했는데 힘들까요? 자유전공학부는 어떤가요?,건국대,,전형|산업공학과,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
건대 경영 가려면 정시 백분위 몇 정도 맞아야 되는지 궁금합니다,건국대,정시,,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
건국대 경영관 위치나 시설 좋은가요?,건국대,,,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
현대미술과 희망하는데 학생부 종합전형에서 기타과목 중요도가 궁금합니다,,,기타과목,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
나 심심해,,,,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
